Model_Name,Total_Games,Total_Win_Pct,Bets_Count,Bet_Win_Pct,ROI
RF_Fantasy_Core,885,53.79%,654,56.12%,6.62%
RF_Rank1_True_God,885,53.79%,740,55.54%,5.53%
