Model_Name,Total_Games,Total_Win_Pct,Bets_Count,Bet_Win_Pct,ROI
7B_Rank5,885,55.25%,670,57.01%,8.33%
11B_Rank4,885,54.80%,636,56.60%,7.55%
11B_Rank2,885,55.48%,655,56.03%,6.46%
7B_Rank3,885,55.14%,664,55.42%,5.30%
11B_Rank5,885,53.67%,657,54.95%,4.40%
7B_Rank4,885,52.43%,636,54.72%,3.96%
7B_Rank2,885,52.09%,600,54.00%,2.60%
7B_Rank1,885,53.56%,624,53.69%,2.00%
11B_Rank3,885,53.45%,633,53.55%,1.75%
11B_Rank1,885,51.53%,614,51.63%,-1.91%
